path,archetype
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_14.jpg,2
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_18.jpg,8
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_21.jpg,12
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_3.jpg,0
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_7.jpg,3
ArtemisArt/asse - genevieve-anne-marie-bodin-dite-genevieve-asse_1923/asse_2.jpg,9
ArtemisArt/asse - genevieve-anne-marie-bodin-dite-genevieve-asse_1923/asse_6.jpg,12
ArtemisArt/avril - armand-avril_1926/avril_1.jpg,10
ArtemisArt/avril - armand-avril_1926/avril_4.jpg,11
ArtemisArt/avril - armand-avril_1926/avril_8.jpg,3
ArtemisArt/backer - harriet-backer_1845/backer_11.jpg,13
ArtemisArt/backer - harriet-backer_1845/backer_15.jpg,2
ArtemisArt/backer - harriet-backer_1845/backer_19.jpg,2
ArtemisArt/backer - harriet-backer_1845/backer_22.jpg,12
ArtemisArt/backer - harriet-backer_1845/backer_26.jpg,12
ArtemisArt/backer - harriet-backer_1845/backer_3.jpg,2
ArtemisArt/backer - harriet-backer_1845/backer_33.jpg,9
ArtemisArt/backer - harriet-backer_1845/backer_37.jpg,6
ArtemisArt/backer - harriet-backer_1845/backer_7.jpg,4
ArtemisArt/bacon - francis-bacon_1909/bacon_10.jpg,2
ArtemisArt/bacon - francis-bacon_1909/bacon_14.jpg,6
ArtemisArt/bacon - francis-bacon_1909/bacon_18.jpg,12
ArtemisArt/bacon - francis-bacon_1909/bacon_21.jpg,1
ArtemisArt/bacon - francis-bacon_1909/bacon_25.jpg,9
ArtemisArt/bacon - francis-bacon_1909/bacon_29.jpg,10
ArtemisArt/bacon - francis-bacon_1909/bacon_32.jpg,13
ArtemisArt/bacon - francis-bacon_1909/bacon_36.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_4.jpg,4
ArtemisArt/bacon - francis-bacon_1909/bacon_43.jpg,12
ArtemisArt/bacon - francis-bacon_1909/bacon_47.jpg,0
ArtemisArt/bacon - francis-bacon_1909/bacon_50.jpg,5
ArtemisArt/bacon - francis-bacon_1909/bacon_54.jpg,7
ArtemisArt/bacon - francis-bacon_1909/bacon_58.jpg,11
ArtemisArt/bacon - francis-bacon_1909/bacon_61.jpg,3
ArtemisArt/bacon - francis-bacon_1909/bacon_65.jpg,13
ArtemisArt/bacon - francis-bacon_1909/bacon_69.jpg,10
ArtemisArt/bacon - francis-bacon_1909/bacon_72.jpg,12
ArtemisArt/bacon - francis-bacon_1909/bacon_76.jpg,6
ArtemisArt/bacon - francis-bacon_1909/bacon_8.jpg,4
ArtemisArt/bacon - francis-bacon_1909/bacon_83.jpg,1
ArtemisArt/bacon - francis-bacon_1909/bacon_9.jpg,3
ArtemisArt/balke - peder-balke_1804/balke_12.jpg,0
ArtemisArt/balke - peder-balke_1804/balke_16.jpg,11
ArtemisArt/balke - peder-balke_1804/balke_4.jpg,9
ArtemisArt/balke - peder-balke_1804/balke_8.jpg,7
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_11.jpg,9
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_15.jpg,13
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_19.jpg,11
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_22.jpg,1
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_26.jpg,5
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_3.jpg,4
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_33.jpg,15
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_4.jpg,14
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_8.jpg,10
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_11.jpg,8
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_15.jpg,15
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_19.jpg,-1
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_22.jpg,3
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_26.jpg,6
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_3.jpg,8
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_33.jpg,11
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_37.jpg,2
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_40.jpg,10
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_44.jpg,1
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_8.jpg,10
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_11.jpg,2
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_15.jpg,7
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_19.jpg,4
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_22.jpg,1
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_6.jpg,12
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_1.jpg,11
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_13.jpg,6
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_17.jpg,9
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_20.jpg,10
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_24.jpg,14
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_4.jpg,4
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_8.jpg,1
ArtemisArt/baudry - paul-baudry_1828/baudry_3.jpg,3
ArtemisArt/baudry - paul-baudry_1828/baudry_7.jpg,9
ArtemisArt/bazille - frederic-bazille_1841/bazille_10.jpg,7
ArtemisArt/bazille - frederic-bazille_1841/bazille_14.jpg,14
ArtemisArt/bazille - frederic-bazille_1841/bazille_18.jpg,0
ArtemisArt/bazille - frederic-bazille_1841/bazille_21.jpg,13
ArtemisArt/bazille - frederic-bazille_1841/bazille_5.jpg,14
ArtemisArt/bazille - frederic-bazille_1841/bazille_9.jpg,8
ArtemisArt/bellini - giovanni-bellini_1435/bellini_12.jpg,5
ArtemisArt/bellini - giovanni-bellini_1435/bellini_16.jpg,9
ArtemisArt/bellini - giovanni-bellini_1435/bellini_2.jpg,6
ArtemisArt/bellini - giovanni-bellini_1435/bellini_23.jpg,10
ArtemisArt/bellini - giovanni-bellini_1435/bellini_27.jpg,10
ArtemisArt/bellini - giovanni-bellini_1435/bellini_5.jpg,8
ArtemisArt/bellini - giovanni-bellini_1435/bellini_9.jpg,10
ArtemisArt/berard - christian-berard_1902/berard_2.jpg,14
ArtemisArt/berard - christian-berard_1902/berard_6.jpg,5
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_1.jpg,14
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_13.jpg,8
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_17.jpg,7
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_20.jpg,11
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_24.jpg,3
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_28.jpg,7
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_31.jpg,1
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_35.jpg,15
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_39.jpg,13
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_42.jpg,9
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_46.jpg,14
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_5.jpg,6
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_53.jpg,1
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_7.jpg,0
ArtemisArt/berman - eugene-berman_1899/berman_10.jpg,3
ArtemisArt/berman - eugene-berman_1899/berman_14.jpg,0
ArtemisArt/berman - eugene-berman_1899/berman_18.jpg,8
ArtemisArt/berman - eugene-berman_1899/berman_3.jpg,11
ArtemisArt/berman - eugene-berman_1899/berman_7.jpg,14
ArtemisArt/bernard - emile-bernard_1868/bernard_10.jpg,10
ArtemisArt/bernard - emile-bernard_1868/bernard_14.jpg,7
ArtemisArt/bernard - emile-bernard_1868/bernard_18.jpg,0
ArtemisArt/bernard - emile-bernard_1868/bernard_21.jpg,15
ArtemisArt/bernard - emile-bernard_1868/bernard_25.jpg,5
ArtemisArt/bernard - emile-bernard_1868/bernard_6.jpg,6
ArtemisArt/blake - william-blake_1827/blake_1.jpg,3
ArtemisArt/blake - william-blake_1827/blake_13.jpg,11
ArtemisArt/blake - william-blake_1827/blake_17.jpg,5
ArtemisArt/blake - william-blake_1827/blake_20.jpg,3
ArtemisArt/blake - william-blake_1827/blake_5.jpg,1
ArtemisArt/blake - william-blake_1827/blake_9.jpg,1
ArtemisArt/blanchard-j - jacques-blanchard_1600/blanchard-j_12.jpg,12
ArtemisArt/blanchard-j - jacques-blanchard_1600/blanchard-j_5.jpg,12
ArtemisArt/blanchard-j - jacques-blanchard_1600/blanchard-j_9.jpg,9
ArtemisArt/blanchard-m - maria-blanchard_1881/blanchard-m_3.jpg,8
ArtemisArt/blanchard-m - maria-blanchard_1881/blanchard-m_7.jpg,10
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_10.jpg,10
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_14.jpg,7
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_18.jpg,0
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_21.jpg,11
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_25.jpg,2
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_29.jpg,9
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_32.jpg,1
ArtemisArt/blanche - jacques-emile-blanche_1861/blanche_6.jpg,0
ArtemisArt/bocklin - arnold-bocklin_1827/bocklin_1.jpg,4
ArtemisArt/bocklin - arnold-bocklin_1827/bocklin_4.jpg,1
ArtemisArt/bocklin - arnold-bocklin_1827/bocklin_8.jpg,-1
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_11.jpg,1
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_15.jpg,10
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_19.jpg,10
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_22.jpg,6
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_26.jpg,13
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_3.jpg,9
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_33.jpg,12
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_37.jpg,3
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_40.jpg,10
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_44.jpg,15
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_48.jpg,3
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_51.jpg,0
ArtemisArt/boilly - louis-leopold-boilly_1761/boilly_9.jpg,3
ArtemisArt/boldini - giovanni-boldini_1842/boldini_12.jpg,13
ArtemisArt/boldini - giovanni-boldini_1842/boldini_16.jpg,1
ArtemisArt/boldini - giovanni-boldini_1842/boldini_2.jpg,2
ArtemisArt/boldini - giovanni-boldini_1842/boldini_23.jpg,9
ArtemisArt/boldini - giovanni-boldini_1842/boldini_27.jpg,14
ArtemisArt/boldini - giovanni-boldini_1842/boldini_30.jpg,9
ArtemisArt/boldini - giovanni-boldini_1842/boldini_34.jpg,15
ArtemisArt/boldini - giovanni-boldini_1842/boldini_38.jpg,14
ArtemisArt/boldini - giovanni-boldini_1842/boldini_41.jpg,8
ArtemisArt/boldini - giovanni-boldini_1842/boldini_45.jpg,15
ArtemisArt/boldini - giovanni-boldini_1842/boldini_49.jpg,10
ArtemisArt/boldini - giovanni-boldini_1842/boldini_52.jpg,7
ArtemisArt/boldini - giovanni-boldini_1842/boldini_7.jpg,1
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_10.jpg,7
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_14.jpg,9
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_18.jpg,8
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_21.jpg,2
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_25.jpg,9
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_5.jpg,5
ArtemisArt/bonechi - lorenzo-bonechi_1955/bonechi_9.jpg,0
ArtemisArt/bonheur - marie-rosalie-bonheur-dite-rosa_1822/bonheur_2.jpg,10
ArtemisArt/bonheur - marie-rosalie-bonheur-dite-rosa_1822/bonheur_6.jpg,1
ArtemisArt/bonington - richard-parkes-bonington_1802/bonington_1.jpg,1
ArtemisArt/bonington - richard-parkes-bonington_1802/bonington_4.jpg,13
ArtemisArt/bonington - richard-parkes-bonington_1802/bonington_8.jpg,13
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_11.jpg,8
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_15.jpg,11
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_19.jpg,0
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_22.jpg,7
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_26.jpg,11
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_3.jpg,0
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_33.jpg,3
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_37.jpg,1
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_40.jpg,8
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_44.jpg,5
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_48.jpg,4
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_51.jpg,2
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_55.jpg,11
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_59.jpg,6
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_62.jpg,6
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_66.jpg,12
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_7.jpg,0
ArtemisArt/bonnard - pierre-bonnard_1867/bonnard_8.jpg,5
ArtemisArt/bonnat - leon-bonnat_1833/bonnat_11.jpg,11
ArtemisArt/bonnat - leon-bonnat_1833/bonnat_15.jpg,1
ArtemisArt/bonnat - leon-bonnat_1833/bonnat_4.jpg,13
ArtemisArt/bonnat - leon-bonnat_1833/bonnat_8.jpg,9
ArtemisArt/bosch - jerome-bosch_1450/bosch_11.jpg,11
ArtemisArt/bosch - jerome-bosch_1450/bosch_15.jpg,10
ArtemisArt/bosch - jerome-bosch_1450/bosch_19.jpg,15
ArtemisArt/bosch - jerome-bosch_1450/bosch_22.jpg,5
ArtemisArt/bosch - jerome-bosch_1450/bosch_26.jpg,7
ArtemisArt/bosch - jerome-bosch_1450/bosch_3.jpg,11
ArtemisArt/bosch - jerome-bosch_1450/bosch_33.jpg,4
ArtemisArt/bosch - jerome-bosch_1450/bosch_4.jpg,11
ArtemisArt/bosch - jerome-bosch_1450/bosch_8.jpg,2
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_11.jpg,8
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_15.jpg,9
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_19.jpg,15
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_22.jpg,3
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_26.jpg,13
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_3.jpg,12
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_33.jpg,10
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_37.jpg,8
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_40.jpg,3
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_44.jpg,14
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_48.jpg,10
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_51.jpg,3
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_55.jpg,7
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_59.jpg,15
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_62.jpg,7
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_66.jpg,4
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_7.jpg,4
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_73.jpg,13
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_77.jpg,13
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_80.jpg,15
ArtemisArt/botticelli - alessandro-filipepi-dit-sandro-botticelli_1444/botticelli_84.jpg,13
ArtemisArt/botticini - francesco-botticini_1446/botticini_1.jpg,7
ArtemisArt/botticini - francesco-botticini_1446/botticini_2.jpg,15
ArtemisArt/botticini - francesco-botticini_1446/botticini_6.jpg,2
ArtemisArt/boucher - francois-boucher_1703/boucher_1.jpg,3
ArtemisArt/boucher - francois-boucher_1703/boucher_13.jpg,6
ArtemisArt/boucher - francois-boucher_1703/boucher_17.jpg,4
ArtemisArt/boucher - francois-boucher_1703/boucher_20.jpg,10
ArtemisArt/boucher - francois-boucher_1703/boucher_24.jpg,13
ArtemisArt/boucher - francois-boucher_1703/boucher_28.jpg,7
ArtemisArt/boucher - francois-boucher_1703/boucher_31.jpg,3
ArtemisArt/boucher - francois-boucher_1703/boucher_35.jpg,10
ArtemisArt/boucher - francois-boucher_1703/boucher_39.jpg,2
ArtemisArt/boucher - francois-boucher_1703/boucher_42.jpg,5
ArtemisArt/boucher - francois-boucher_1703/boucher_46.jpg,1
ArtemisArt/boucher - francois-boucher_1703/boucher_5.jpg,9
ArtemisArt/boucher - francois-boucher_1703/boucher_53.jpg,13
ArtemisArt/boucher - francois-boucher_1703/boucher_57.jpg,11
ArtemisArt/boucher - francois-boucher_1703/boucher_60.jpg,15
ArtemisArt/boucher - francois-boucher_1703/boucher_64.jpg,15
ArtemisArt/boucher - francois-boucher_1703/boucher_8.jpg,14
ArtemisArt/boudin - eugene-boudin_1824/boudin_11.jpg,1
ArtemisArt/boudin - eugene-boudin_1824/boudin_15.jpg,12
ArtemisArt/boudin - eugene-boudin_1824/boudin_19.jpg,7
ArtemisArt/boudin - eugene-boudin_1824/boudin_22.jpg,6
ArtemisArt/boudin - eugene-boudin_1824/boudin_26.jpg,8
ArtemisArt/boudin - eugene-boudin_1824/boudin_3.jpg,12
ArtemisArt/boudin - eugene-boudin_1824/boudin_33.jpg,3
ArtemisArt/boudin - eugene-boudin_1824/boudin_37.jpg,13
ArtemisArt/boudin - eugene-boudin_1824/boudin_40.jpg,6
ArtemisArt/boudin - eugene-boudin_1824/boudin_44.jpg,10
ArtemisArt/boudin - eugene-boudin_1824/boudin_48.jpg,8
ArtemisArt/boudin - eugene-boudin_1824/boudin_7.jpg,9
ArtemisArt/bouguereau - william-bouguereau_1825/bouguereau_10.jpg,10
ArtemisArt/bouguereau - william-bouguereau_1825/bouguereau_3.jpg,5
ArtemisArt/bouguereau - william-bouguereau_1825/bouguereau_7.jpg,6
ArtemisArt/bouts - dirk-bouts-l-ancien_1420/bouts_10.jpg,14
ArtemisArt/bouts - dirk-bouts-l-ancien_1420/bouts_3.jpg,10
ArtemisArt/bouts - dirk-bouts-l-ancien_1420/bouts_7.jpg,2
ArtemisArt/braque - georges-braque_1882/braque_10.jpg,4
ArtemisArt/braque - georges-braque_1882/braque_14.jpg,5
ArtemisArt/braque - georges-braque_1882/braque_18.jpg,14
ArtemisArt/braque - georges-braque_1882/braque_21.jpg,5
ArtemisArt/braque - georges-braque_1882/braque_25.jpg,3
ArtemisArt/braque - georges-braque_1882/braque_29.jpg,3
ArtemisArt/braque - georges-braque_1882/braque_32.jpg,15
ArtemisArt/braque - georges-braque_1882/braque_36.jpg,8
ArtemisArt/braque - georges-braque_1882/braque_4.jpg,6
ArtemisArt/braque - georges-braque_1882/braque_6.jpg,14
ArtemisArt/brauner - victor-brauner_1903/brauner_1.jpg,13
ArtemisArt/brauner - victor-brauner_1903/brauner_13.jpg,11
ArtemisArt/brauner - victor-brauner_1903/brauner_17.jpg,8
ArtemisArt/brauner - victor-brauner_1903/brauner_20.jpg,0
ArtemisArt/brauner - victor-brauner_1903/brauner_24.jpg,1
ArtemisArt/brauner - victor-brauner_1903/brauner_28.jpg,12
ArtemisArt/brauner - victor-brauner_1903/brauner_31.jpg,0
ArtemisArt/brauner - victor-brauner_1903/brauner_35.jpg,1
ArtemisArt/brauner - victor-brauner_1903/brauner_39.jpg,10
ArtemisArt/brauner - victor-brauner_1903/brauner_42.jpg,14
ArtemisArt/brauner - victor-brauner_1903/brauner_46.jpg,4
ArtemisArt/brauner - victor-brauner_1903/brauner_5.jpg,3
ArtemisArt/brauner - victor-brauner_1903/brauner_8.jpg,3
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_11.jpg,2
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_15.jpg,6
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_19.jpg,4
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_22.jpg,8
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_26.jpg,14
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_3.jpg,11
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_33.jpg,13
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_37.jpg,15
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_40.jpg,13
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_44.jpg,8
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_48.jpg,9
ArtemisArt/bronzino - agnolo-di-cosimi-dit-bronzino_1503/bronzino_8.jpg,15
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_11.jpg,8
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_15.jpg,10
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_19.jpg,13
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_22.jpg,3
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_26.jpg,2
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_3.jpg,9
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_33.jpg,2
ArtemisArt/brueghel-j - jan-brueghel-l-ancien-dit-de-velours_1568/brueghel-j-I_6.jpg,0
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_1.jpg,2
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_13.jpg,11
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_17.jpg,1
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_20.jpg,1
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_24.jpg,15
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_28.jpg,10
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_31.jpg,1
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_35.jpg,4
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_39.jpg,6
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_42.jpg,9
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_5.jpg,10
ArtemisArt/brueghel-p - pieter-brueghel-II_1564/brueghel-p_9.jpg,7
ArtemisArt/burne-jones - edward-coley-burne-jones_1833/burne-jones_4.jpg,1
ArtemisArt/burne-jones - edward-coley-burne-jones_1833/burne-jones_8.jpg,0
ArtemisArt/burri - alberto-burri_1915/burri_11.jpg,7
ArtemisArt/burri - alberto-burri_1915/burri_15.jpg,14
ArtemisArt/burri - alberto-burri_1915/burri_4.jpg,3
